slug,name,nation,type,status,bodyLengthMm,image,imageExists
panzer-iv,"Panzer IV (Pz.Kpfw. IV)",Germany,"Medium tank","",5920,assets/img/tanks/pz-iv-base-coat-side-detail.jpg,true
sherman-m4a3,"Sherman M4A3 (Medium Tank M4A3 Sherman)",USA,"Medium tank","",5840,assets/img/tanks/sherman-base-coat-side-detail.jpg,true
t-34-85,"T-34/85 (T-34-85)",USSR,"Medium tank","",6100,assets/img/tanks/t34-85-base-coat-side-detail.jpg,true
tiger-i,"Tiger I (Pz.Kpfw. VI Tiger Ausf. E)",Germany,"Heavy tank","",6320,assets/img/tanks/tiger-base-coat-side-detail.jpg,true
su-85,"SU-85 (Samokhodnaya Ustanovka 85)",USSR,"Tank destroyer","",6100,assets/img/tanks/su85-base-coat-side-detail.jpg,true
m18-hellcat,"M18 Hellcat (76 mm Gun Motor Carriage M18)",USA,"Tank destroyer","",5280,assets/img/tanks/m18-hellcat-base-coat-side-detail.jpg,true
e-100,"E-100 (Entwicklung 100)",Germany,"Super heavy tank","Prototype / unfinished project",8700,assets/img/tanks/e100-base-coat-side-detail.jpg,true
e-25,"E-25 (Entwicklung 25)",Germany,"Tank destroyer","What-if / paper project",5660,assets/img/tanks/e25-base-coat-side-detail.jpg,true
e-50,"E-50 (Entwicklung 50)",Germany,"Medium tank","What-if / paper project",6870,assets/img/tanks/e50-base-coat-side-detail.jpg,true
e-75,"E-75 (Entwicklung 75)",Germany,"Heavy tank","What-if / paper project",7400,assets/img/tanks/e75-base-coat-side-detail.jpg,true
ferdinand,"Ferdinand (Sd.Kfz. 184 Ferdinand)",Germany,"Tank destroyer","",6810,assets/img/tanks/ferdinand-base-coat-side-detail.jpg,true
hetzer,"Hetzer (Jagdpanzer 38 Hetzer)",Germany,"Tank destroyer","",4870,assets/img/tanks/hetzer-base-coat-side-detail.jpg,true
is-3,"IS-3 (Iosif Stalin-3)",USSR,"Heavy tank","",6900,assets/img/tanks/is3-base-coat-side-detail.jpg,true
